"","tract","meanP","meanN","meanV","meanA","meanD","population16","employment","employment_percent","median_household","means_household","cash_public","food_stamp","med_age","age_me","num_of_users","num_of_tweets","bachelor","bachelor_percent","gyrByCensus","Automobile","Drove.Alone","Public.Transit","Walking","Bicycle","Other","Worked.Home","No.vehicle","One.vehicle","Two.vehicles","Three.vehicles","HoursPerWeek","Quintile.3Mbps","Total.Drivers","Mean.Travel.Time.min","not.alone","medlog","pubtrans","HO.vacancy.rate","Rental.vacancy.rate","median.rooms","Owner.occupied","Renter.occupied","Average.household.OO","Average.household.RO","OPR.....1.00","OPR..1.x..1.5","OPR.....1.51","Mortgage.units","Per.mortgage.OO","HH.Size","One.vehicle.plus"
"1",1011.1,1.5799356223176,-1.42435622317597,5.78497875841402,4.21938323013173,5.62131811127308,4027,2601,64.6,55214,75104,48,73,40.3,3.8,13,364,524,14.7,6504.89433876541,94.2,86.6,1,0.5,0,1.4,3,0,18.1,36.6,45.3,36.6,4,2140,31.5,13.4,10.9189718232967,0,0,1.4,4.4,51.1,48.9,3.18,2.64,91.5,6.5,2,745,86.7,2.91594,100
"2",1011.22,1.74961948249619,-1.42237442922374,5.88145677738954,4.23142745469021,5.65846886501521,2975,2244,75.4,102719,117782,25,31,44.5,5.1,9,73,494,18.9,12578.2161855534,90.7,75.4,2.9,0,0,2.1,4.4,0,12.5,38.3,49.2,39.4,4,1910,35.1,24.6,11.5397523836739,1.06471073699243,2.7,12.4,5.8,85.1,14.9,2.93,2.38,97.3,2.7,0,833,79.7,2.84805,100
"3",1012.1,1.49705535924617,-1.45524146054181,5.49927028083116,4.10487076125832,5.47244988960461,5333,3634,68.1,42664,52035,97,189,31.1,1.4,17,243,464,10.3,15660.1032699578,85.2,77.5,4.3,5.6,0,2.9,2,1.6,22.7,52,23.6,35,4,3230,29,22.5,10.6611107522804,1.45861502269952,0,5.4,3.6,14.6,85.4,2.99,2.95,80.2,14.2,5.6,323,100,2.95584,98.3
"4",1012.2,1.40734949179046,-1.45543393275997,5.65456931116988,4.20244913623443,5.53739654728897,2504,1736,69.3,42367,49951,42,55,41.1,2.8,14,269,239,10.7,5377.22673997854,87.7,75.4,0,6.2,0,4.3,1.8,9,24.4,42.1,24.6,36.2,3,1402,27.8,24.6,10.6541250362991,-4.60517018598809,6.8,4.4,4.2,36.3,63.7,2.87,2.56,86.8,10.8,2.4,376,88.7,2.67253,91.1
"5",1013,1.58981693363844,-1.38615560640732,5.71731652860109,4.23889595469363,5.56735232308311,3417,2221,65,71550,89646,0,8,45,3,32,1089,889,29.4,61831.3764740705,93,86.5,0.6,0,0,0,6.4,1.1,13.5,40.3,45.1,38.8,4,1833,28.2,13.5,11.1781517849846,-0.510825623765991,0,1.8,5.4,81.8,18.2,2.86,2.24,100,0,0,977,78.1,2.74716,98.9
"6",1014,1.56104651162791,-1.41230620155039,5.78236518297986,4.21916668743697,5.6084949956323,3373,1996,59.2,62065,77848,61,92,47.1,3.4,43,184,686,22.9,41475.2014272746,82.9,78.8,1.3,7.4,0,0.7,7.7,0.5,25.3,31.3,42.9,37.9,4,1600,29.2,21.2,11.03593750195,0.262364264467491,0,0,5.1,67,33,2.73,2.34,93.7,5.5,0.8,814,79.2,2.6013,99.5
"7",1021.03,1.52100840336134,-1.51540616246499,5.6551330371826,4.27989491048359,5.55004438557775,1476,985,66.7,67553,83637,22,22,43,6.4,9,20,254,19.8,2316344.23187333,98.7,78.9,0.5,0,0.7,0,0,0.7,15.2,46,38,39.4,5,941,27.8,21.1,11.1206677539492,-0.693147180559945,0,0,5.6,76.5,23.5,2.86,1.66,94.6,4,1.5,392,75.4,2.578,99.2
"8",1021.04,1.58412098298677,-1.39508506616257,5.82078639693644,4.26127995486416,5.61125899062191,3044,2067,67.9,86848,105012,0,0,43.5,5.9,34,161,665,27.1,52553.0678422857,82.1,75.6,3.9,4.1,0.8,4.5,4.7,0,20.2,42.4,37.4,37.5,3,1627,32.7,24.4,11.3719147431945,1.3609765531356,0,0,5.2,76,24,2.24,2.36,98.5,1.5,0,750,75.3,2.2688,100
"9",1021.05,1.44852941176471,-1.33088235294118,5.7574768282312,4.15208000283433,5.54850713931411,1473,901,61.2,44087,62317,33,36,33.8,4.4,31,73,130,9.8,291112.8020018,91.4,76.9,4.2,3.7,0.7,0,0,0,16.6,49,34.5,39.2,4,731,21.4,23.1,10.6939202333969,1.43508452528932,0,0,4.9,59.8,40.2,3.33,3.11,91.1,4.7,4.2,237,69.5,3.24156,100
"10",1021.07,1.60689045936396,-1.44787985865724,5.74795586448419,4.26279533839221,5.59476611020901,3057,1741,57,48862,65580,45,118,47.4,5.3,38,736,551,20.9,83818.3048252187,90.9,85.4,3.8,2.9,0,0.9,1.5,0,11,43.1,45.8,37.8,4,1401,33,14.6,10.7967552772527,1.33500106673234,0,2.8,5.6,65.8,34.2,2.65,2.88,97.5,1.4,1.2,648,81,2.72866,99.9
"11",1031.02,1.71212121212121,-1.44949494949495,5.82202396589284,4.1985567434843,5.61931818596574,4156,2776,66.8,69129,78664,81,68,37.5,2.9,22,94,731,20.7,33078.0578121653,96.3,86.9,2.6,0,0,0.3,0.8,2.1,15.3,36.8,45.7,37.5,4,2365,35.2,13.1,11.1437296033349,0.955511445027436,2.1,0,5.1,73.4,26.6,3.21,2.68,93,5.4,1.6,1001,82.1,3.06902,97.8
"12",1032,1.82600222717149,-1.40061247216036,5.8561580066173,4.20602534102413,5.67337394296806,6026,3396,56.4,76435,86515,82,70,47.9,2.5,52,2290,810,16.2,820747.753620037,86.2,74,1,3.4,1.5,0.8,7.2,0,19.3,31.4,49.3,37.6,4,2344,29.6,26,11.2441959854351,0,0,0,5.5,66.1,33.9,2.94,2.07,97.1,1.8,1.1,948,66.2,2.64507,100
"13",1033,1.61145703611457,-1.52552926525529,5.76897171775812,4.27581805034946,5.57989279380047,2631,1899,72.2,98065,117831,28,4,46.4,3.5,23,198,597,25.6,52253.8052170694,91.3,82.9,0.4,0.1,0.5,1.7,5.9,0,8,29.5,62.5,38.1,5,1631,25.5,17.1,11.4933858030956,-0.916290731874155,2.8,10.1,6,85.5,14.5,2.53,2.5,98.3,0.7,1,823,75.2,2.52565,100
"14",1034,1.61032863849765,-1.43863179074447,5.78323365840041,4.24633332685913,5.59516212876302,5800,3978,68.6,61698,72348,82,236,40.2,4.1,36,1930,1083,21.9,923239.527272614,96,87.6,0.9,0.9,0,0.6,1.6,3.2,17.5,27.2,52.1,36.7,4,3569,28.7,12.4,11.0300067944572,-0.105360515657826,3.6,4,5,61.9,38.1,2.88,2.45,97,3,0,1253,83.1,2.71617,96.8
"15",1041.03,1.68415051311288,-1.38198403648803,5.90284532446715,4.22688402353817,5.6447495874881,2636,1724,65.4,65270,71654,9,39,33.6,2.8,11,729,222,10.7,105900.953582421,96.3,77.3,2.2,0,0,0.6,0.8,1,5.7,37.9,55.3,37.1,4,1405,30.4,22.7,11.0862877916293,0.78845736036427,9.3,0,6.1,77.3,22.7,4.47,4.63,87.6,9.8,2.6,509,85.7,4.50632,98.9
"16",1041.05,1.518147086915,-1.50286532951289,5.61975658775504,4.23300809747371,5.53575408589073,3798,2501,65.9,41714,53546,181,191,27.8,2.4,11,120,306,10.3,66186.169310497,88.4,70.2,10.9,0,0,0.8,0,2.6,33.6,39.8,24,36,3,2064,31,29.8,10.6385920828566,2.3887627892351,2.7,0,5.1,50.3,49.7,4.16,3.71,88.4,9.5,2.1,660,91.5,3.93635,97.4
"17",1041.08,1.6751269035533,-1.3756345177665,5.80316860198171,4.2487972095026,5.63573730266019,4037,2406,59.6,46875,51989,62,142,28.7,4,16,77,201,6.6,312765.703541858,80.5,59.1,5.3,6.1,6.2,0,1.9,6.3,17.4,29.7,46.7,37.2,3,2128,23.9,40.9,10.7552397632727,1.66770682055808,0,2.3,5.2,44.3,55.7,4.88,3.27,80.6,11.1,8.3,487,81.2,3.98323,93.8
"18",1041.24,1.50886620096722,-1.32885545405696,5.74632035348728,4.18690823634096,5.61005109405028,2940,2000,68,73750,75355,45,94,41,2.4,21,28,560,21.7,123090.754684111,88.2,75.9,1.7,2.1,0,3.8,4.2,0,11.5,32.4,56.1,37.1,4,1697,28.6,24.1,11.2084362742021,0.53062825106217,1.1,0,5.8,77.6,22.4,3.2,4.28,90.3,8.4,1.3,818,89,3.44192,100
"19",1042.01,1.68301759133965,-1.64546684709066,5.65022269842776,4.23381118544216,5.57552393305799,3154,2186,69.3,45089,54802,21,124,28.3,2.8,20,379,29,1.2,10909.1529670873,93.5,77.5,2.3,0.7,0.2,0.8,2.5,5,4,20.2,70.8,36.7,4,1870,23.5,22.5,10.7163935933027,0.832909122935104,1,0,5.5,77.2,22.8,4.99,6.48,68.6,20.9,10.6,529,77.8,5.32972,95
"20",1042.03,1.55602156980228,-1.50299580587178,5.73859082956023,4.22301870268574,5.59681593346542,3021,1830,60.6,35556,43986,61,133,27.4,2,15,73,75,3.3,80906.2010288706,76.3,60.9,11.6,2.8,1.2,1.3,6.8,3.1,15.6,42.3,38.9,36.7,3,1788,27.3,39.1,10.4788641973616,2.45100509811232,8.9,4.7,4.9,38.3,61.7,4.72,4.46,69.3,19.1,11.6,332,85.8,4.55958,96.8
"21",1042.04,1.61988304093567,-1.54678362573099,5.73248421465209,4.24301151566328,5.56233170408912,2654,1647,62.1,44453,69870,20,62,33.1,3.1,15,325,181,8.5,20340.1958850152,84.5,64.5,6.5,0.7,0.9,2.9,4.4,1.8,7,35.9,55.3,37.6,4,1312,27.7,35.5,10.7021877302282,1.87180217690159,3,0,5.5,63.3,36.7,5.07,3.76,79,17.5,3.5,376,83.2,4.58923,98.2
"22",1043.1,1.52980472764645,-1.39362795477903,5.74051434001128,4.26166632910755,5.58054487429181,3303,1954,59.2,50350,61227,8,65,32.5,1.7,17,509,107,4,6838.03775445297,92.4,74.8,2,0.4,0.4,1,3.9,1.3,6,30.8,61.9,36.7,3,1645,24,25.2,10.8267538981467,0.693147180559945,0,6.1,5.3,66.8,33.2,5.85,5.11,62.7,27.1,10.1,406,72.4,5.60432,98.7
"23",1043.2,1.66479925303455,-1.50980392156863,5.77674592506794,4.23945400485064,5.59258609438664,4265,3005,70.5,50341,58495,58,151,30.4,2.8,51,117,127,3.7,30616.0526028126,87.2,63.5,7.9,2.6,1.4,0,0.8,3.7,9.4,20.6,66.3,34.7,3,2613,30.5,36.5,10.8265751334106,2.06686275947298,0,4.4,5.1,51.4,48.6,4.58,5.72,61.9,28.1,10.1,363,62.9,5.13404,96.3
"24",1044.01,1.60457516339869,-1.45424836601307,5.83072320230773,4.31549832518816,5.62144360668627,2129,1299,61,59211,63908,24,71,30.2,2.7,18,43,51,3,82585.6900899,88.6,68,4.7,1.3,0,1.2,4.2,2.7,9.7,22,65.6,40,3,1234,28.3,32,10.9888626144222,1.54756250871601,7.2,0,5.2,63.4,36.6,5.14,5.48,74.9,15,10.1,288,72.7,5.26444,97.3
"25",1044.03,1.54254545454545,-1.51127272727273,5.66403378804509,4.31827238922919,5.53033811343554,2218,1414,63.8,44954,48170,21,27,29.6,2.4,30,54,142,7.9,6464.60550401505,88.6,74.5,5.4,2.1,0,0,3.9,0.2,14.3,23.7,61.7,36.8,3,1186,26.6,25.5,10.7133950237048,1.68639895357023,8.8,0,5.1,57,43,5.05,5.65,75.3,14.6,10.1,271,77.2,5.308,99.7
"26",1045,1.51936921494686,-1.45937607130614,5.69796627394257,4.23317759167467,5.56118748119768,2339,1601,68.4,49074,54165,20,73,27.5,3.2,9,17,54,2.9,19547.0552826144,88.4,61.4,5.5,2.2,1.1,0.8,1.9,1.1,15.3,23.2,60.4,35.8,3,1292,28.5,38.6,10.801084641963,1.70474809223843,0,11.7,4.9,48.3,51.7,4.78,4.62,80.6,10.7,8.7,206,65.2,4.69728,98.9
"27",1047.04,1.60164835164835,-1.37545787545788,5.87470505641279,4.24735344003339,5.66255888589731,2652,1825,68.8,51316,57888,48,110,28.8,3.1,15,29,227,10.3,62596.1201648273,86.7,72.7,5.9,0,0,1.6,5.8,1.4,21.1,47.3,30.2,38.1,4,1437,31.9,27.3,10.8457578733692,1.77495235091167,6,3.3,5,57.9,42.1,3.52,3.89,84.4,15.2,0.4,484,75,3.67577,98.6
"28",1048.1,1.56363636363636,-1.40994854202401,5.67719651148184,4.30360997914645,5.55643180264636,3610,2401,66.5,62150,61085,145,136,28.9,3.3,14,562,81,2.7,39077.8873203429,97.7,75.6,0.3,0,0,0,2,0.7,5.8,29.1,64.4,36.1,4,2009,28.9,24.4,11.0373060969389,-1.20397280432594,0,0,5.3,57.5,42.5,5.04,5.11,69.6,29.1,1.4,489,82.2,5.06975,99.3
"29",1048.21,1.5371142618849,-1.60800667222686,5.61488290921276,4.39058438339888,5.48362092316261,2630,1796,68.3,49071,55245,14,37,29,3.7,12,88,111,6,102180.928399912,83.9,55,5.4,7.4,0,1.1,2.2,1.6,12.3,36.7,49.4,36.4,4,1241,28.8,45,10.8010235079266,1.68639895357023,0,0,4.7,37.2,62.8,4.83,4.45,71.4,22.3,6.3,162,58.5,4.59136,98.4
"30",1048.22,1.65275459098498,-1.42904841402337,5.80881959740258,4.2605969002207,5.60842443116036,1391,877,63,34796,37219,26,66,33.9,5.1,33,72,72,7,91594.2427876517,83.5,66.8,8,3.5,0,3,1.9,7.9,19.5,26.7,45.9,34.8,4,774,23.4,33.2,10.4572577166274,2.07944154167984,0,4,4.6,31.1,68.9,4.43,3.7,78.5,21.5,0,148,91.9,3.92703,92.1
"31",1060.1,1.79853902345252,-1.43713956170704,5.81032082212912,4.15375827036164,5.6272357154518,2229,1455,65.3,74495,90112,0,45,38,4.2,26,137,214,12,10024.3868531754,91.9,77.7,5,2.4,0,0,0.7,0.2,11.5,36.9,51.4,37,4,1337,31.3,22.3,11.2184872880214,1.6094379124341,0,31,6.6,81.4,18.6,3.01,3.3,100,0,0,580,82.7,3.06394,99.8
"32",1060.2,1.55045408678103,-1.50428859737639,5.72593845411753,4.22595270115877,5.58723720415084,3915,2597,66.3,82600,91067,64,64,34.4,4,17,196,406,12.9,7212.96432996866,91.2,86,6.1,1,0,0,1.7,0.3,5.9,27.1,66.7,37.3,4,2430,28.4,14,11.3217649595091,1.80828877117927,6.7,0,6.2,85.4,14.6,4.2,5.43,86.2,11.7,2.2,908,79,4.37958,99.7
"33",1061.11,1.68379927070672,-1.53064768188922,5.71468873840554,4.25020856670611,5.58170406149735,3574,2416,67.6,79549,86844,21,5,41.3,2.3,31,2012,513,18.2,7952.40805257213,95.7,81.7,0.3,0,0,1.2,2.8,1.2,9.4,37.6,51.8,38.5,5,1821,31.7,18.3,11.2841284629767,-1.20397280432594,0,15.8,6,87,13,3.19,2.6,100,0,0,1048,86.4,3.1133,98.8
"34",1061.12,1.57981325033348,-1.46376167185416,5.79417955029626,4.22127425138727,5.60807609426998,4174,2773,66.4,77957,79848,8,10,35.5,3.6,36,498,646,18.5,12806.0347814583,93.1,70,1.8,1.5,0,0.3,3.3,3,6.3,36.5,54.2,36.9,4,2316,29.7,30,11.2639126716086,0.587786664902119,0,0,5.9,87.3,12.7,3.69,4.75,91.6,7.9,0.5,1109,85.7,3.82462,97
"35",1061.13,1.81659931613304,-1.53497046938141,5.85371280699512,4.22065923796313,5.63507751075506,2586,1596,61.7,65016,67045,6,33,31.9,4.4,30,496,241,11,4515.69401831429,90.2,71.5,5.3,0.5,0,0,3.9,0.4,11.8,29.4,58.4,37,4,1509,28.3,28.5,11.082388672433,1.66770682055808,0,0,5.8,86.8,13.2,3.73,4.42,92.1,7.5,0.4,662,82.9,3.82108,99.6
"36",1061.14,1.54856333468231,-1.52934034803723,5.69057699748651,4.33452328557473,5.53632014758808,4042,2801,69.3,44629,55527,154,160,29.8,2.7,43,192,270,8.5,58110.8463294899,90,61.7,4.5,2.3,1,0.3,1.9,3.9,29,37.5,29.6,36.8,4,2222,31.2,38.3,10.7061391509192,1.50407739677627,2.4,2.8,5,42.1,57.9,3.6,3.65,85.6,8.3,6.1,560,87.8,3.62895,96.1
"37",1064.03,1.57174453967376,-1.48631462538015,5.71042137486995,4.24697853381997,5.58338811364858,2464,1232,50,58750,62081,32,75,37.1,4.7,28,652,139,7.4,75425.4045731983,87.7,60.2,6.6,0.3,0,3.7,1.7,2.2,3.3,23.3,71.1,37.4,4,1099,29.6,39.8,10.9810464320064,1.88706964903238,9.2,0,5.8,85.2,14.8,4.21,6.18,77.9,13.9,8.2,453,76.3,4.50156,97.7
"38",1064.05,1.56443148688047,-1.4064139941691,5.74683815089681,4.2748621515446,5.59302993697916,2372,1720,72.5,50742,60125,22,56,34,1.9,15,37,310,15,47958.3068849687,88.1,75.8,2.7,0,0,0,9.1,1.2,17.9,39.5,41.4,37.7,3,1365,28.5,24.2,10.8345092490103,0.993251773010283,0,0,5,63.5,36.5,3.58,2.88,96.8,1.9,1.4,549,90.6,3.3245,98.8
"39",1064.06,1.63515901060071,-1.49381625441696,5.77914289630477,4.23191042739943,5.62215020716908,4333,3197,73.8,66844,74526,0,61,37.1,1.7,30,992,593,17,119552.651502833,95.1,75.2,0.2,0,0,0,4.7,0,8,44.6,47.4,35.4,3,2330,25.1,24.8,11.1101168253233,-1.6094379124341,0,0,6.1,82.7,17.3,3.78,3.03,91.4,7.2,1.5,915,80.3,3.65025,100
"40",1064.07,1.54026845637584,-1.50335570469799,5.71705071098696,4.24255478052094,5.58976373359257,1881,1022,54.3,34054,33525,35,35,34.3,10.1,11,127,72,4.9,55204.4809922783,87,76.2,7.8,0.7,0,1.2,3.3,3.6,17.2,60.6,18.6,35.5,3,855,27,23.8,10.4357027789806,2.05412373369555,0,8.8,4.1,34.3,65.7,3.6,2.98,71.3,19.3,9.3,233,89.3,3.19266,96.4
"41",1065.1,1.55155367231638,-1.43237994350282,5.78120021405268,4.22484822418633,5.58383724947454,3896,2583,66.3,69183,102274,33,28,29.2,3.2,82,192,528,17.8,94800.9859197326,93.7,82.4,0.9,0.5,0,2.3,2.7,0,15.8,40,44.2,38.2,5,2140,27.8,17.6,11.1445104466854,-0.105360515657826,5.5,4.5,6.1,67.1,32.9,3.1,2.97,93.6,3.2,3.3,790,79.1,3.05723,100
"42",1065.2,1.5,-1.53581500282008,5.69267221380788,4.28825323453858,5.5559866885942,4202,2779,66.1,55431,64725,71,47,33.5,2.4,22,947,165,4.9,27095.6908840894,92.2,70.1,1.4,0,1,0.4,5,0.9,9.1,40.3,49.7,37.2,3,2053,26.3,29.9,10.9228942830233,0.336472236621213,2.3,0,5.6,81.4,18.6,4.12,4.16,82.4,16.4,1.2,774,74.4,4.12744,99.1
"43",1066.03,1.6234693877551,-1.37755102040816,5.81809132581911,4.23342255226668,5.64992862409568,2702,1765,65.3,105139,122703,21,0,43.8,2.1,71,137,720,31.1,112144.357301699,89.9,83.3,2.1,0.4,0,0,7.6,0,13.5,44.6,42,37.1,5,1333,36.4,16.7,11.5630385632002,0.741937344729377,0,0,7.4,88.8,11.2,3.01,4.12,99.6,0,0.4,685,76.8,3.13432,100
"44",1066.04,1.67825443786982,-1.44280078895464,5.79464810600764,4.26226727530871,5.61742725950704,2945,1893,64.3,52727,58498,69,88,29,3.4,56,227,182,7.8,20397.3463895647,84.4,65.8,12.3,1.2,0,0,2.1,2.4,19.2,35.5,42.9,37.8,3,1746,31.2,34.2,10.8728829372971,2.50959926237837,0,3.6,4.9,40.1,59.9,4.32,3.8,80.3,14.3,5.4,373,80.4,4.00852,97.6
"45",1066.41,1.68625,-1.43625,5.88169946420683,4.23802551012641,5.65434526545665,1819,1272,69.9,106418,115030,37,6,47.5,1.9,11,82,502,31.1,27344.7812462033,86.1,72,2.7,0,0,1.7,9.4,0,4.5,50.2,45.3,38.3,5,901,31,28,11.5751300145139,0.993251773010283,3.9,0,6.8,93.7,6.3,2.85,3.54,99.3,0.7,0,539,78.5,2.89347,100
"46",1066.42,1.56165839829908,-1.47696669029057,5.73522803760847,4.26183738454877,5.61468365157135,2636,1734,65.8,76908,93507,33,52,41.8,2.7,31,99,454,19.8,57588.3136382362,93.4,72.1,6.1,0.1,0,0,0.4,0,10.4,41.8,47.8,37.7,4,1702,32.6,27.9,11.2503651812922,1.80828877117927,0,0,6.2,92.2,7.8,2.99,4.08,100,0,0,785,76.2,3.07502,100
"47",1066.43,1.62741827885257,-1.37825216811207,5.83611967430132,4.20178638512106,5.64881806605326,3591,2183,60.8,136147,154092,27,0,45.2,0.9,32,282,875,29.1,202562.066775388,94.2,84.9,0.5,1.5,0,0,3.8,0,1.9,26,72.1,38.3,5,1970,29.2,15.1,11.8214904633384,-0.693147180559945,2.5,0,7.8,96.7,3.3,3.32,2.77,99.1,0.9,0,1035,81.7,3.30185,100
"48",1066.46,1.62044270833333,-1.38313802083333,5.83611909722719,4.21510129381472,5.65801503310645,2937,2022,68.8,92138,103563,8,0,41,2.9,51,835,675,27.8,65314.9533891698,94,86.5,2.6,0.4,0,0,3,0,7.2,46.1,46.8,38.4,5,1593,32.4,13.5,11.4310427321549,0.955511445027436,0,0,6.2,85.8,14.2,3.45,3.88,94.5,2.8,2.6,671,79.4,3.51106,100
"49",1066.48,1.55414012738854,-1.45859872611465,5.74901017879264,4.28786198147156,5.57838518616888,2915,1712,58.7,38542,52043,88,184,27.2,2.2,12,48,44,2,22050.2830447541,89,68.2,7.6,2.5,0,0,0.9,5.3,20,24.6,50.1,36.4,3,1462,29,31.8,10.5595038347579,2.02814824729229,3.8,2.9,4.5,47.2,52.8,4.43,4.65,64.4,20.1,15.5,325,72.1,4.54616,94.7
"50",1066.49,1.34678282133578,-1.33883539660706,5.77504729709634,4.11312543016949,5.57662517731683,2008,1363,67.9,78654,98651,0,44,33,10.2,24,86,337,19.9,25279.9943259894,88.7,68.6,1.1,1.9,0,2.2,6,1.2,7.7,38,53.1,36.5,4,1018,27.8,31.4,11.2728137654259,0.0953101798043249,0,0,6.2,85,15,3.96,4.62,94.3,4.2,1.5,463,81.8,4.059,98.8
"51",1070.1,1.56694720734506,-1.44758990053558,5.73752277115593,4.26997412436515,5.55619195075338,2532,1537,60.7,69489,75826,19,83,32.7,6.5,22,637,121,6.4,13883.4397379755,92.5,83.4,1.7,0.5,0,0,5.3,0,10.6,32,57.4,38.9,4,1067,29.6,16.6,11.148923745645,0.53062825106217,5.1,0,5.7,71.7,28.3,4.31,4.42,80.3,7.1,12.6,421,80.2,4.34113,100
"52",1070.2,1.51529850746269,-1.44664179104478,5.69149635537807,4.29745099833878,5.54089613504916,4005,2529,63.1,59635,64281,72,92,32.3,2.7,16,54,362,12,48934.797388425,91.5,72.7,4.9,0.8,0.4,0,2.4,1,9.6,46.2,43.2,36.4,4,2199,29,27.3,10.9959979290128,1.58923520511658,0,17.1,5.8,72.9,27.1,4.4,4.44,88.6,6.8,4.6,791,89.1,4.41084,99
"53",1081.01,1.57430488974113,-1.41418983700863,5.80802248633258,4.2656572677224,5.60384572980856,2117,1338,63.2,101728,146713,18,0,51.6,3,24,59,588,30.9,225198.745888108,93.4,82.4,1.8,0,0,1.2,3.5,2,6.3,39.1,52.6,40.6,5,1102,34.8,17.6,11.5300578637105,0.587786664902119,0,0,7.2,88.9,11.1,2.78,3.65,99.1,0.9,0,513,72.2,2.87657,98
"54",1081.02,1.52421591636441,-1.43396628973757,5.72330620534767,4.25641833770515,5.58121010224264,3125,2032,65,97957,111580,24,6,43.4,2.3,48,247,893,32.6,65016.5321174898,94.4,86.6,1.3,0,0,0,4.4,0.5,8.6,42.8,48.1,40.7,5,1755,33.4,13.4,11.4922838858524,0.262364264467491,0,0,6.8,80.9,19.1,2.88,3.51,100,0,0,751,74.3,3.00033,99.5
"55",1081.03,1.46932698034544,-1.36748064324002,5.87054963131032,4.24843376316486,5.67638084746878,2858,1796,62.8,123000,149382,33,11,48.8,2.3,24,77,831,35.1,11555.2342448144,87.4,74.1,2.3,0.7,0,0,9.7,1.4,6.3,38.4,54,38.8,5,1431,36.7,25.9,11.7199396343546,0.832909122935104,0,0,7.5,89.3,10.7,3.22,2.17,99,0,1,774,81.6,3.10765,98.7
"56",1082.01,1.60457188690596,-1.3711650290756,5.8619973840311,4.24016759871217,5.64965871081196,4290,2724,63.5,87841,113154,24,0,43.1,1.9,106,298,1492,38.5,364936.039632585,86.4,73.9,3.7,1.4,0,0,8.6,0,10.5,55.6,33.9,38.4,4,2220,35.2,26.1,11.3832836410137,1.30833281965018,0,0,6.1,84.3,15.7,2.82,3.46,99,1,0,1335,82.7,2.92048,100
"57",1082.02,1.57408155026241,-1.3564796124344,5.85731978857754,4.23544245196966,5.66316572922126,3894,2405,61.8,115093,154722,9,0,37.5,2.1,32,225,1382,39.5,246308.41137475,90.4,80.2,0.5,0,0,0,9.1,0.8,13.5,52.3,33.5,40.5,5,2220,37.8,19.8,11.6534957761794,-0.693147180559945,2.2,10.1,5.7,60.2,39.8,3.23,2.19,96.7,2,1.3,1097,91.9,2.81608,99.3
"58",1091,1.70311645708037,-1.41261162748314,5.82044423196944,4.21269356784489,5.64993934759177,2026,856,42.3,45724,56960,7,10,45.6,4,113,893,144,7.9,82499.4760135224,93.6,73,3.2,3.1,0,0,0,2.2,3.4,39.9,54.5,39.9,4,893,31,27,10.7303786031457,1.16315080980568,2.9,0,5.3,82.5,17.5,3.39,2.37,91.6,5.1,3.3,368,64.7,3.2115,97.8
"59",1092,1.58438685208597,-1.46523388116308,5.69393721260032,4.22639456607836,5.56668118101239,2041,1424,69.8,73208,81138,38,51,37.1,4.1,44,143,479,26.7,122541.043027481,87,75.7,7.2,0,0.4,0,5.4,0,13.6,56.5,29.9,38.1,5,1054,34.7,24.3,11.2010599835952,1.97408102602201,0,4,5.3,76.6,23.4,3.04,2.73,95.3,4.7,0,542,76.7,2.96746,100
"60",1093,1.5238578680203,-1.46751269035533,5.75526455430449,4.28847923751286,5.58379072052445,2555,1618,63.3,68958,83387,10,10,42,2.3,45,225,338,15,63737.3267990228,90.4,80.5,5.9,0.4,0,0,3.3,2,10,39.8,48.2,37.6,5,1426,28.1,19.5,11.1412529025968,1.77495235091167,0,21.8,5.7,87.4,12.6,3.7,4.67,91.7,8.3,0,624,81.4,3.82222,98
"61",1094,1.67222033321999,-1.46412784767086,5.73537558252335,4.20447870874749,5.59939216486063,2974,1955,65.7,56758,76515,23,23,35.9,7.4,42,399,277,11.1,24309.5374080837,95.9,86.5,1.9,0.4,0,0,1.9,0,9,39.7,51.3,39.4,4,1682,30.4,13.5,10.9465518945714,0.641853886172395,1.1,0,5.2,77.2,22.8,3.34,3.6,88.6,7.6,3.8,574,68.3,3.39928,100
"62",1095,1.6510172143975,-1.47600417318727,5.77819956142386,4.26146284044446,5.59801328335183,3395,2319,68.3,59324,64449,22,43,30.8,2.9,46,205,165,6,9771.52965030674,91.1,71.7,3.2,1,0,0,4.7,1.9,18.5,33.7,45.8,36.3,3,1948,23.6,28.3,10.9907692248619,1.16315080980568,0,0,5.1,60.6,39.4,4.96,3.88,74.2,19,6.8,525,83.2,4.53448,98
"63",1096.01,1.53950471698113,-1.51474056603774,5.73277417143172,4.2540637136611,5.55430467544579,3910,2457,62.8,63194,77974,31,18,33.4,3.2,26,1578,413,12.8,12720.830031171,95.9,78.9,2.4,0.4,0,1,0.3,0.4,7.2,23.3,69.2,37.6,5,2460,26.1,21.1,11.0539646389193,0.8754687373539,0.9,0,5.7,73.3,26.7,4.04,4.18,87.1,10.2,2.7,754,80.9,4.07738,99.7
