"","tract","meanP","meanN","meanV","meanA","meanD","population16","employment","employment_percent","median_household","means_household","cash_public","food_stamp","med_age","age_me","num_of_users","num_of_tweets","bachelor","bachelor_percent","gyrByCensus","Automobile","Drove.Alone","Public.Transit","Walking","Bicycle","Other","Worked.Home","No.vehicle","One.vehicle","Two.vehicles","Three.vehicles","HoursPerWeek","Quintile.3Mbps","Total.Drivers","Mean.Travel.Time.min","not.alone","medlog","pubtrans","HO.vacancy.rate","Rental.vacancy.rate","median.rooms","Owner.occupied","Renter.occupied","Average.household.OO","Average.household.RO","OPR.....1.00","OPR..1.x..1.5","OPR.....1.51","Mortgage.units","Per.mortgage.OO","HH.Size","One.vehicle.plus"
"1412",5740,1.51444087879536,-1.39767958528758,5.7900798393605,4.22584260853578,5.61248744264125,4317,2875,66.6,103478,111108,24,30,44.5,2.2,52,852,1000,26.4,135935.329341536,90,85.1,1.7,0.7,0,0.4,7.2,0.4,9.9,54,35.6,37.3,4,2537,25.9,14.9,11.5471143087069,0.53062825106217,0,0,5.7,89.6,10.4,2.67,3.61,99.2,0.8,0,1276,72.3,2.76776,99.5
"1413",5741,1.45821185617104,-1.31656948493683,5.82739690023678,4.20723219182211,5.66373612312375,4266,2931,68.7,87857,97390,69,66,39.4,2,68,1158,1044,28.2,44080.4815655279,86.1,76.6,3.7,0.3,0.2,1.5,8.2,2.2,11.5,41.3,45,38.4,4,2407,27.7,23.4,11.3834657717158,1.30833281965018,1.8,0,5.6,81.1,18.9,2.89,2.48,97.6,1.8,0.6,1148,74.4,2.81251,97.8
"1414",5742.01,1.42709163346614,-1.35737051792829,5.75012505078654,4.20761387717079,5.56354847681692,2527,1771,70.1,87632,91293,11,0,40.8,2.8,56,120,443,20.4,315764.056636949,88.8,79.9,1.1,1.3,1.1,0,7.7,0,6.6,38.5,54.9,37.5,5,1399,27.5,20.1,11.3809015070235,0.0953101798043249,2.5,0,6,85.5,14.5,2.7,3.4,99.1,0.9,0,707,74.7,2.8015,100
"1415",5742.02,1.54673182651191,-1.28772144166158,5.89873420677009,4.1777348919891,5.76334403078499,1746,1022,58.5,59083,73092,0,4,40,4.4,104,765,175,11.5,62469.1262235295,84.5,79,3.3,0.9,6.9,0,4.5,2.7,13.5,53.7,30.1,38.8,4,877,24.5,21,10.9866985139614,1.19392246847243,0,2.8,5,40.3,59.7,2.72,2.74,97.2,2.8,0,210,75.8,2.73194,97.3
"1416",5743,1.5819124038783,-1.42995653627549,5.79362116645709,4.22834174572722,5.63383391875363,4724,3130,66.3,88235,106786,0,0,41.2,2.1,155,596,1103,27.2,103871.303449624,94.7,89,0.5,0.5,0,0,4.3,1.2,12.1,44.9,41.8,39.3,4,2687,27.6,11,11.3877589886773,-0.693147180559945,2.2,0,5.9,75,25,2.7,2.42,99.5,0.5,0,1151,70.3,2.63,98.8
"1417",5744,1.53559267066645,-1.41543700340522,5.74977274548086,4.24780934619025,5.59405244010419,4223,2957,70,100442,121203,45,39,41.9,1.8,96,254,1101,29.9,315768.072904574,89.7,83.2,1.3,0,1.2,0.9,6.9,0,10.4,41.1,48.5,39,4,2417,26.2,16.8,11.5173357254588,0.262364264467491,0,0,5.9,84.4,15.6,2.65,3.17,98.8,1.2,0,1214,72.7,2.73112,100
"1418",5745,1.52811870305917,-1.42755083348599,5.8691776194773,4.28937345648594,5.60642727938171,5091,3030,59.5,101707,106933,30,0,44.4,2.2,110,946,1090,24.4,148520.727473666,94.4,87.4,1.1,0.3,0,0,4.2,0.2,9.5,45,45.3,37.7,4,2708,24.3,12.6,11.5298514095598,0.0953101798043249,1.4,0,6.3,90.1,9.9,2.65,2.88,98.2,1.8,0,1402,69,2.67277,99.8
"1419",5746.02,1.80833333333333,-1.425,5.85893452849484,4.18049540277536,5.64337622983075,1026,560,54.6,109637,131332,0,0,46.5,8.3,17,52,191,20.2,159236.133959632,87.4,68.6,0,0.9,0,0,11.8,0,11.1,38.9,50,35.5,4,503,23.7,31.4,11.6049301877658,-4.60517018598809,3,0,6.7,81.3,18.8,2.17,2.87,93.8,6.3,0,283,62.2,2.30377,100
"1420",5748,1.54725349709997,-1.43091095189355,5.75254870790936,4.23035334384562,5.59256909489879,2631,1806,68.6,78750,146307,10,0,40.4,5.9,96,1140,731,36.3,62915.4889154869,83,79.7,1.3,1.1,1.8,0,12.7,4.8,29.1,47,19.1,37.6,5,1397,26,20.3,11.2740335566879,0.262364264467491,0,16.2,4.4,55.5,44.5,2.2,1.87,97.7,1.1,1.2,493,61.4,2.05315,95.2
"1421",5749.01,1.65147908874532,-1.34580074804488,5.85202206102995,4.2255021996038,5.6679164476096,3042,2112,69.4,102434,102616,58,36,40.4,1.4,80,676,897,34.4,252578.014472816,95.1,84.7,1.7,0.3,0,0.4,2.5,1.8,11,49.5,37.7,39,5,1970,28.9,15.3,11.5369739677274,0.53062825106217,0,0,5.7,76.7,23.3,2.82,2.85,98.6,1.4,0,825,75,2.82699,98.2
"1422",5749.02,1.65870910698497,-1.43273967411898,5.84550117602985,4.20227240420623,5.63992039905145,4422,2971,67.2,50536,60684,48,39,24.5,1.5,137,1813,756,32.8,186003.157466419,83.1,74.5,8.7,1.9,2.4,0.3,3.6,0.2,31.8,41.7,26.3,33.2,5,2279,26.1,25.5,10.8304412325785,2.16332302566054,0,2.9,4,21.2,78.8,2.39,2.5,96,0.9,3.1,340,87,2.47668,99.8
