Incident Number,Date Occurred,UCR,UCR Description,Location,Gang Related,Latitude,Longitude,Map Point
150113747,08/30/2015 12:00:00 AM,0710,GTA - Passenger Car,1100BLK 12TH ST,false,34.0259166674851,-118.491527778754,"(34.0259166674851, -118.491527778754)"
150014806,02/02/2015 12:00:00 AM,0680,Larceny - From Coin Machine,1100BLK 10TH ST,true,34.0243888897152,-118.493430556506,"(34.0243888897152, -118.493430556506)"
150014808,02/03/2015 12:00:00 AM,2300,Public Intoxication,300BLK WILSHIRE BLVD,true,34.0188750000827,-118.498569444344,"(34.0188750000827, -118.498569444344)"
150145369,11/05/2015 12:00:00 AM,0512,Burglary-Force Non-Resd,300BLK WILSHIRE BLVD ,true,34.0185694445242,-118.498944444341,"(34.0185694445242, -118.498944444341)"
150145395,11/06/2015 12:00:00 AM,0630,Larceny - Shoplift,300BLK COLORADO  AVE,false,34.0133333335649,-118.492472221918,"(34.0133333335649, -118.492472221918)"
150145411,11/06/2015 12:00:00 AM,0670,Larceny - From Building,2900BLK 31ST ST ,true,34.0193333336988,-118.451361111347,"(34.0193333336988, -118.451361111347)"
150132525,08/21/2015 12:00:00 AM,1100,Fraud,800BLK SANTA MONICA BLVD,false,34.0198472224993,-118.490888888554,"(34.0198472224993, -118.490888888554)"
150014841,02/03/2015 12:00:00 AM,2622,Cruelty to Animals,1500BLK HILL ST,false,34.0096250000977,-118.467472222046,"(34.0096250000977, -118.467472222046)"
150014846,02/03/2015 12:00:00 AM,0630,Larceny - Shoplift,1200BLK 3RD STREET PROM,true,34.0176527786105,-118.498430556522,"(34.0176527786105, -118.498430556522)"
150014860,02/03/2015 12:00:00 AM,0420,Agg Assault - Knife,2100BLK COLORADO AVE,true,34.0267222232318,-118.475958332087,"(34.0267222232318, -118.475958332087)"
150014867,02/03/2015 12:00:00 AM,0450,Simple Assault,2500BLK PICO BLVD,true,34.0229027778943,-118.462986110876,"(34.0229027778943, -118.462986110876)"
150014873,02/03/2015 12:00:00 AM,2610,Possess Drug Paraphernalia,800BLK CEDAR ST,true,34.009277777996,-118.478055555193,"(34.009277777996, -118.478055555193)"
140168950,12/10/2014 12:00:00 AM,2000,Family Offenses,UNKNOWN,false,34.0226388892056,-118.45473611139,"(34.0226388892056, -118.45473611139)"
160005516,01/14/2016 12:00:00 AM,2610,Possess Drug Paraphernalia,1000BLK OCEAN AVE ,true,34.0188472230919,-118.503555556566,"(34.0188472230919, -118.503555556566)"
160005535,01/14/2016 12:00:00 AM,1400,Vandalism,1500BLK 2ND ST ,false,34.0128611119292,-118.494694445425,"(34.0128611119292, -118.494694445425)"
