Incident Number,Date Occurred,UCR,UCR Description,Location,Gang Related,Latitude,Longitude,Map Point
160700333,05/30/2016 12:00:00 AM,0660,Larceny - Bicycle,2500BLK 3RD ST,false,34.0037083336565,-118.48280555587,"(34.0037083336565, -118.48280555587)"
160700349,05/22/2016 12:00:00 AM,0660,Larceny - Bicycle,1300BLK EUCLID ST,false,34.02397222305,-118.487402778743,"(34.02397222305, -118.487402778743)"
160153107,12/08/2016 12:00:00 AM,0710,GTA - Passenger Car,7TH ST / SAN VICENTE BLVD,false,34.0319722222222,-118.507861111111,"(34.0319722222222, -118.507861111111)"
160153110,12/08/2016 12:00:00 AM,0690,Larceny - Other,6TH ST / ARIZONA AVE,true,34.0192777777778,-118.494805555556,"(34.0192777777778, -118.494805555556)"
160153223,12/08/2016 12:00:00 AM,0730,GTA - Other Vehicle,2600BLK 4TH ST,false,34.0032222229143,-118.48073611183,"(34.0032222229143, -118.48073611183)"
160153296,12/08/2016 12:00:00 AM,0710,GTA - Passenger Car,800BLK SAN VICENTE BLVD,false,34.0336111122546,-118.506888888466,"(34.0336111122546, -118.506888888466)"
160153394,12/09/2016 12:00:00 AM,0450,Simple Assault,5TH ST / COLORADO AVE,true,34.0144722222222,-118.491055555556,"(34.0144722222222, -118.491055555556)"
160153417,12/09/2016 12:00:00 AM,1823,Narco Possess-Synthetic,1600BLK 5TH ST,true,34.0138055564653,-118.490263889943,"(34.0138055564653, -118.490263889943)"
160153424,12/09/2016 12:00:00 AM,0640,Larceny - From Vehicle,1900BLK 17TH ST,true,34.0189027788017,-118.474125001189,"(34.0189027788017, -118.474125001189)"
160153453,12/09/2016 12:00:00 AM,1811,Narco Sales Opiate/Cocaine,1900BLK 20TH ST,true,34.0212083343682,-118.471305556741,"(34.0212083343682, -118.471305556741)"
160153683,12/10/2016 12:00:00 AM,0450,Simple Assault,1500BLK OCEAN AVE ,true,34.0120833341536,-118.495638889874,"(34.0120833341536, -118.495638889874)"
